title,artist,album,url,description,release_year,fetch_date
Nayaru Jachayista,Elisabet Flores Florelisa,Nayaru Jachayista,https://www.youtube.com/watch?v=2Mzdc2S1lxc,,,2026-04-18 23:09:00
Ponchito,Diaspora,Ritmos En La Sangre,https://www.youtube.com/watch?v=bofUKBej2qU,,,2026-04-18 23:09:00
Ojos Bonitos,ÑAMPI BOLIVIA,seguimos bailando,https://www.youtube.com/watch?v=_-77M2vDAy0,,,2026-04-18 23:09:00
Guerrero Soy,Tiempo Bolivia,Guerrero Soy,https://www.youtube.com/watch?v=922dvTMjMfc,,,2026-04-18 23:09:00
Ukhamampi Munataxa,Los Kjarkas,A los 500 Años,https://www.youtube.com/watch?v=cySYpehAXmM,,,2026-04-18 23:09:00
Tobas Sud en Carnava,Alejandro Artas Maya,100 Años Centralistas,https://www.youtube.com/watch?v=-K-qvbAxlW0,,,2026-04-18 23:09:00
Tobas Calero II,Aullagas,Tobas Calero II,https://www.youtube.com/watch?v=EM3oae-M4ww,,,2026-04-18 23:09:00
"Chiru Chiru, El Ferroviario",Llajtaymanta,Surcos Bolivianos Vol. 1,https://www.youtube.com/watch?v=PYfKIXeRjbc,,,2026-04-18 23:09:00
Dejando la Ciudad (Tobas),Wilson Hoyle,Sonq’oymanta,https://www.youtube.com/watch?v=WIbZQ_G9SNU,,,2026-04-18 23:09:00
Es Asi,Antologia,Momentos Vividos,https://www.youtube.com/watch?v=0GCiDJAoYDE,,,2026-04-18 23:09:00
Rendido en Tus Brazos (feat. El Toba Toledo) (feat. El Toba Toledo),El Negro Gallardo,Entre Amigos,https://www.youtube.com/watch?v=9GYBHRssQU4,,,2026-04-18 23:09:00
Mi Samba Mi Negra,Los Kjarkas,El Árbol de Mi Destino,https://www.youtube.com/watch?v=sFPpyAbuUVw,,,2026-04-18 23:09:00
Padre mío,Tu y Yo Gitanos X Siempre,Tu y Yo Alma Gitana,https://www.youtube.com/watch?v=DC2x-yDW8vc,,,2026-04-18 23:09:00
Izozo Ankaru,FUSION RUANA,Izozo Ankaru,https://www.youtube.com/watch?v=G2sV-B1bHhI,,,2026-04-18 23:09:00
Bailando Saya,Sayanta,Surcos Bolivianos Vol. 1,https://www.youtube.com/watch?v=UaZaRTv49u8,,,2026-04-18 23:09:00
Corazón,Anata Bolivia,De La Paz al Mundo,https://www.youtube.com/watch?v=7LjuSLOYzPM,,,2026-04-18 23:09:00
Raices,Kala Marka,Solo por Ti,https://www.youtube.com/watch?v=52GAEWdBWBE,,,2026-04-18 23:09:00
Mamita,Kala Marka,Llamerada,https://www.youtube.com/watch?v=EnqkqTDmaas,,,2026-04-18 23:09:00
Khanto de Charazani,Sajras de Bolivia,Musique Des Andes,https://www.youtube.com/watch?v=rBdr7qtDQYU,,,2026-04-18 23:09:00
Tobas,Banda Internacional Runaukas,Imponiendo Sin Fronteras,https://www.youtube.com/watch?v=jALUs44gik8,,,2026-04-18 23:09:00
Niña a Mujer,FUSION RUANA,Niña a Mujer,https://www.youtube.com/watch?v=L_CV9zEdEt0,,,2026-04-18 23:09:00
Tobas de Corazón,Jach'a Uru,Orgullo Boliviano,https://www.youtube.com/watch?v=vzyV9E-9Hx4,,,2026-04-18 23:09:00
Toba de la Amistad,Rijchariy,Kaminante de la Vida,https://www.youtube.com/watch?v=zmP96f28oik,,,2026-04-18 23:09:00
Techno Tobas,Misky Pacha,Mi Compromiso,https://www.youtube.com/watch?v=USfMZfLOfWk,,,2026-04-18 23:09:00
Baila,Kala Marka,Por La Igualdad De Razas Y Derechos,https://www.youtube.com/watch?v=AlbbaUWi3AE,,,2026-04-18 23:09:00
Bailando pujllay,Llajtaymanta,Nada Nos Separará,https://www.youtube.com/watch?v=A8OP3f_yfK8,,,2026-04-18 23:09:00
Dpt. Folk. Bolivia,Ichu,Ichu,https://www.youtube.com/watch?v=SI0XUUUmv2I,,,2026-04-18 23:09:00
Sol al Zenit,Zenit Bolivia,Ritmo Caliente,https://www.youtube.com/watch?v=fPRqP-DGvhg,,,2026-04-18 23:09:00
Carnaval de Betanzos,Jach'a Mallku,Porque Bolivia los Extraña,https://www.youtube.com/watch?v=FYEyxNZCQas,,,2026-04-18 23:09:00
Selección de San Juanitos,Proyección,Toda... Una Vida (La Nueva Expresion del Folklore de Bolivia),https://www.youtube.com/watch?v=9nuMFtP71jY,,,2026-04-18 23:09:00
T'una Papita,Los Kjarkas,35 Años,https://www.youtube.com/watch?v=Gy4CIWJTcOU,,,2026-04-18 23:09:00
Mi Linda Cholita,Sacambaya,En el Alma de los Andes | Instrumental,https://www.youtube.com/watch?v=vw0nHpC_XBU,,,2026-04-18 23:09:00
Amigos del Mundo,Anata Bolivia,8 Años,https://www.youtube.com/watch?v=vgffcJ7ylG0,,,2026-04-18 23:09:00
Veneno para Olvidar,Huella,La Magia,https://www.youtube.com/watch?v=jRDSNcyQcZ0,,,2026-04-18 23:09:00
